split,threshold,TP,FP,TN,FN,accuracy,precision,recall,specificity,FPR,F1,F2,ROC_AUC,PR_AP
test,0.662830839677209,188,121,2030,87,0.914262,0.608414,0.683636,0.943747,0.056253,0.643836,0.66714,0.933173,0.695436
test,0.6457088103877139,193,132,2019,82,0.911789,0.593846,0.701818,0.938633,0.061367,0.643333,0.677193,0.933173,0.695436
test,0.6679903207307389,185,116,2035,90,0.915087,0.614618,0.672727,0.946072,0.053928,0.642361,0.660243,0.933173,0.695436
test,0.5649421840557853,211,171,1980,64,0.903133,0.552356,0.767273,0.920502,0.079498,0.642314,0.711876,0.933173,0.695436
test,0.5477560343533568,216,182,1969,59,0.90066,0.542714,0.785455,0.915388,0.084612,0.641902,0.720961,0.933173,0.695436
test,0.5209213186437859,221,193,1958,54,0.898186,0.533816,0.803636,0.910274,0.089726,0.641509,0.729855,0.933173,0.695436
test,0.5755644861401984,208,166,1985,67,0.903957,0.55615,0.756364,0.922827,0.077173,0.640986,0.705563,0.933173,0.695436
test,0.5543712766364937,213,177,1974,62,0.901484,0.546154,0.774545,0.917713,0.082287,0.640602,0.714765,0.933173,0.695436
test,0.5079894067421333,223,199,1952,52,0.896538,0.528436,0.810909,0.907485,0.092515,0.639885,0.732589,0.933173,0.695436
test,0.5943689503203576,202,155,1996,73,0.906018,0.565826,0.734545,0.92794,0.07206,0.639241,0.693205,0.933173,0.695436
test,0.7010605624843316,176,100,2051,99,0.917972,0.637681,0.64,0.95351,0.04649,0.638838,0.639535,0.933173,0.695436
test,0.6523259077526904,189,128,2023,86,0.911789,0.596215,0.687273,0.940493,0.059507,0.638514,0.666902,0.933173,0.695436
test,0.6331197859324762,194,139,2012,81,0.909316,0.582583,0.705455,0.935379,0.064621,0.638158,0.676902,0.933173,0.695436
test,0.7541701398749102,168,84,2067,107,0.92127,0.666667,0.610909,0.960948,0.039052,0.637571,0.621302,0.933173,0.695436
test,0.5336650394668946,217,189,1962,58,0.898186,0.534483,0.789091,0.912134,0.087866,0.637298,0.720452,0.933173,0.695436
test,0.770322603307729,165,79,2072,110,0.922094,0.67623,0.6,0.963273,0.036727,0.635838,0.613839,0.933173,0.695436
test,0.7298624539315324,170,90,2061,105,0.919621,0.653846,0.618182,0.958159,0.041841,0.635514,0.625,0.933173,0.695436
test,0.6799658271917657,180,112,2039,95,0.914674,0.616438,0.654545,0.947931,0.052069,0.634921,0.646552,0.933173,0.695436
test,0.6036983492481982,198,151,2000,77,0.906018,0.567335,0.72,0.9298,0.0702,0.634615,0.68323,0.933173,0.695436
test,0.5867119525160215,203,162,1989,72,0.903545,0.556164,0.738182,0.924686,0.075314,0.634375,0.692833,0.933173,0.695436
test,0.7140036810602675,172,96,2055,103,0.917972,0.641791,0.625455,0.95537,0.04463,0.633517,0.628655,0.933173,0.695436
test,0.689350218615556,177,107,2044,98,0.915499,0.623239,0.643636,0.950256,0.049744,0.633274,0.639451,0.933173,0.695436
test,0.6125427125337828,195,146,2005,80,0.906843,0.571848,0.709091,0.932125,0.067875,0.633117,0.676613,0.933173,0.695436
test,0.4611174080142034,231,224,1927,44,0.88953,0.507692,0.84,0.895862,0.104138,0.632877,0.742765,0.933173,0.695436
test,0.4956889486295169,223,207,1944,52,0.89324,0.518605,0.810909,0.903766,0.096234,0.632624,0.728758,0.933173,0.695436
test,0.4722237309801525,228,219,1932,47,0.890354,0.510067,0.829091,0.898187,0.101813,0.631579,0.73691,0.933173,0.695436
test,0.7850835542732169,161,75,2076,114,0.922094,0.682203,0.585455,0.965132,0.034868,0.630137,0.602545,0.933173,0.695436
test,0.45121067170494567,232,231,1920,43,0.887057,0.50108,0.843636,0.892608,0.107392,0.628726,0.742163,0.933173,0.695436
test,0.48826710112411315,224,214,1937,51,0.890767,0.511416,0.814545,0.900511,0.099489,0.628331,0.728218,0.933173,0.695436
test,0.7966866943814419,157,71,2080,118,0.922094,0.688596,0.570909,0.966992,0.033008,0.624254,0.591114,0.933173,0.695436
test,0.4442416919633047,232,239,1912,43,0.883759,0.492569,0.843636,0.888889,0.111111,0.621984,0.738383,0.933173,0.695436
test,0.4349053039606775,236,251,1900,39,0.880462,0.4846,0.858182,0.88331,0.11669,0.619423,0.743541,0.933173,0.695436
test,0.4253057128244301,238,257,1894,37,0.878813,0.480808,0.865455,0.880521,0.119479,0.618182,0.746082,0.933173,0.695436
test,0.4407688058035096,233,246,1905,42,0.881286,0.48643,0.847273,0.885635,0.114365,0.618037,0.737809,0.933173,0.695436
test,0.8083435614122544,152,67,2084,123,0.921682,0.694064,0.552727,0.968852,0.031148,0.615385,0.576194,0.933173,0.695436
test,0.41901178298767555,238,265,1886,37,0.875515,0.473161,0.865455,0.876801,0.123199,0.611825,0.742358,0.933173,0.695436
test,0.4094345851516502,238,273,1878,37,0.872218,0.465753,0.865455,0.873082,0.126918,0.605598,0.738672,0.933173,0.695436
test,0.8192107120972033,147,64,2087,128,0.920857,0.696682,0.534545,0.970246,0.029754,0.604938,0.560641,0.933173,0.695436
test,0.40310594760686047,239,281,1870,36,0.869332,0.459615,0.869091,0.869363,0.130637,0.601258,0.737654,0.933173,0.695436
test,0.3972193161840552,240,288,1863,35,0.866859,0.454545,0.872727,0.866109,0.133891,0.597758,0.737101,0.933173,0.695436
test,0.38309318449289076,241,295,1856,34,0.864386,0.449627,0.876364,0.862854,0.137146,0.594328,0.736553,0.933173,0.695436
test,0.37703382672456226,242,302,1849,33,0.861913,0.444853,0.88,0.8596,0.1404,0.590965,0.73601,0.933173,0.695436
test,0.8268097614865142,141,62,2089,134,0.919209,0.694581,0.512727,0.971176,0.028824,0.589958,0.541059,0.933173,0.695436
test,0.834499781352746,138,57,2094,137,0.920033,0.707692,0.501818,0.973501,0.026499,0.587234,0.532819,0.933173,0.695436
test,0.36734735018971865,242,310,1841,33,0.858615,0.438406,0.88,0.855881,0.144119,0.585248,0.732446,0.933173,0.695436
test,0.36023177968182163,243,317,1834,32,0.856142,0.433929,0.883636,0.852627,0.147373,0.582036,0.731928,0.933173,0.695436
test,0.3544735348801906,244,324,1827,31,0.853669,0.429577,0.887273,0.849372,0.150628,0.578885,0.731415,0.933173,0.695436
test,0.3332396106564998,248,336,1815,27,0.850371,0.424658,0.901818,0.843794,0.156206,0.577416,0.736342,0.933173,0.695436
test,0.3445718382694144,245,331,1820,30,0.851195,0.425347,0.890909,0.846118,0.153882,0.575793,0.730907,0.933173,0.695436
test,0.8400232917567763,133,54,2097,142,0.919209,0.71123,0.483636,0.974895,0.025105,0.575758,0.516706,0.933173,0.695436
test,0.8471837845416247,130,49,2102,145,0.920033,0.726257,0.472727,0.97722,0.02278,0.572687,0.50821,0.933173,0.695436
test,0.3224623598453724,248,345,1806,27,0.846661,0.418212,0.901818,0.839609,0.160391,0.571429,0.732428,0.933173,0.695436
test,0.3170982573462861,248,353,1798,27,0.843364,0.412646,0.901818,0.83589,0.16411,0.56621,0.728983,0.933173,0.695436
test,0.309256225890153,248,361,1790,27,0.840066,0.407225,0.901818,0.832171,0.167829,0.561086,0.725571,0.933173,0.695436
test,0.3033810303207301,250,367,1784,25,0.838417,0.405186,0.909091,0.829382,0.170618,0.560538,0.728014,0.933173,0.695436
test,0.8570332890148241,125,46,2105,150,0.919209,0.730994,0.454545,0.978615,0.021385,0.560538,0.491739,0.933173,0.695436
test,0.2891163307702483,250,375,1776,25,0.83512,0.4,0.909091,0.825662,0.174338,0.555556,0.724638,0.933173,0.695436
test,0.27754524198811187,252,381,1770,23,0.833471,0.398104,0.916364,0.822873,0.177127,0.555066,0.727063,0.933173,0.695436
test,0.8726057683189765,121,42,2109,154,0.919209,0.742331,0.44,0.980474,0.019526,0.552511,0.479018,0.933173,0.695436
test,0.2701612506302706,253,388,1763,22,0.830998,0.394696,0.92,0.819619,0.180381,0.552402,0.726594,0.933173,0.695436
test,0.8867638913457638,118,37,2114,157,0.920033,0.76129,0.429091,0.982799,0.017201,0.548837,0.47012,0.933173,0.695436
test,0.2599481881000274,253,396,1755,22,0.8277,0.389831,0.92,0.8159,0.1841,0.547619,0.72327,0.933173,0.695436
test,0.25018935761460015,254,403,1748,21,0.825227,0.386606,0.923636,0.812645,0.187355,0.545064,0.722823,0.933173,0.695436
test,0.23651677839509924,254,412,1739,21,0.821517,0.381381,0.923636,0.808461,0.191539,0.539851,0.719139,0.933173,0.695436
test,0.8962572364089447,113,33,2118,162,0.919621,0.773973,0.410909,0.984658,0.015342,0.536817,0.453451,0.933173,0.695436
test,0.23295033104307697,254,420,1731,21,0.818219,0.376855,0.923636,0.804742,0.195258,0.5353,0.715896,0.933173,0.695436
test,0.22792990316109374,255,427,1724,20,0.815746,0.3739,0.927273,0.801488,0.198512,0.532915,0.715488,0.933173,0.695436
test,0.22222438489220803,255,435,1716,20,0.812448,0.369565,0.927273,0.797768,0.202232,0.528497,0.712291,0.933173,0.695436
