technique,technique_label,image,label,confidence_score,best_gt_iou,matched_gt_index,reason,roi_id,seed_roi_id,source_roi_ids,x,y,width,height
nms,NMS,0003_0663715782_02_WRI-R2_M011.png,FP,0.6509614134081052,0.06515132329260467,0,no_gt_match_or_lower_confidence_on_same_gt,NMS1,1,1,322.0,496.0,91.0,90.0
nms,NMS,0003_0663715782_02_WRI-R2_M011.png,TP,0.5811052627494527,0.6651482308570348,0,matched_gt_highest_confidence,NMS2,12,12,319.0,576.0,66.0,90.0
nms,NMS,0003_0663715782_02_WRI-R2_M011.png,FP,0.40835314822681523,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS3,13,13,138.0,825.0,39.0,90.0
nms,NMS,0003_0663715782_02_WRI-R2_M011.png,FP,0.22874392862748594,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS4,8,8,177.0,476.0,51.0,90.0
nms,NMS,0003_0663715782_02_WRI-R2_M011.png,FP,0.20889453682462072,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS5,14,"14,7",155.0,602.0,55.0,90.0
nms,NMS,0003_0663715782_02_WRI-R2_M011.png,FP,0.17525728527303122,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS6,15,15,336.0,430.0,91.0,90.0
nms,NMS,0003_0663715782_02_WRI-R2_M011.png,FP,0.08763786247856699,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS7,2,2,299.0,826.0,101.0,90.0
nms,NMS,0003_0663715782_02_WRI-R2_M011.png,FP,0.06442561448994577,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS8,9,9,178.0,446.0,74.0,90.0
nms,NMS,0003_0663715782_02_WRI-R2_M011.png,FP,0.04813909883434654,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS9,10,10,146.0,727.0,67.0,90.0
nms,NMS,0003_0663715782_02_WRI-R2_M011.png,FP,0.04201334677772189,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS10,11,11,332.0,293.0,91.0,90.0
nms,NMS,0003_0663715782_02_WRI-R2_M011.png,FP,0.03231752147881146,0.09361861013776786,0,no_gt_match_or_lower_confidence_on_same_gt,NMS11,5,5,307.0,636.0,79.0,90.0
nms,NMS,0003_0663715782_02_WRI-R2_M011.png,FP,0.020327398801848435,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS12,4,4,284.0,376.0,124.0,90.0
nms,NMS,0003_0663715782_02_WRI-R2_M011.png,FP,0.01965483149880566,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS13,3,3,184.0,398.0,181.0,126.0
nms,NMS,0003_0663715782_02_WRI-R2_M011.png,FP,0.012910153530857189,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS14,6,6,145.0,756.0,51.0,90.0
nms,NMS,0005_0073601967_01_WRI-R2_F014.png,TP,0.9502473009367255,0.6081081953169282,0,matched_gt_highest_confidence,NMS1,2,"2,6",325.0,505.0,98.0,90.0
nms,NMS,0005_0073601967_01_WRI-R2_F014.png,FP,0.07908705330108666,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS2,5,5,288.0,415.0,7.0,90.0
nms,NMS,0005_0073601967_01_WRI-R2_F014.png,FP,0.06384414310890843,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS3,3,3,333.0,885.0,84.0,90.0
nms,NMS,0005_0073601967_01_WRI-R2_F014.png,FP,0.029652079572960496,0.0,,no_gt_match_or_lower_confidence_on_same_gt,NMS4,4,4,333.0,995.0,89.0,90.0
nms,NMS,0005_0073601967_01_WRI-R2_F014.png,FP,0.00040992155814272154,0.10113998178493934,0,no_gt_match_or_lower_confidence_on_same_gt,NMS5,1,"1,7",315.0,435.0,97.0,90.0
