technique,technique_label,image,label,confidence_score,best_gt_iou,matched_gt_index,reason,roi_id,seed_roi_id,source_roi_ids,x,y,width,height,rank,cum_TP,cum_FP,precision,recall
nms,NMS,2230_0341843437_01_WRI-L2_F005.PNG,TP,0.9999998941737755,0.6346156762031575,0,matched_gt_highest_confidence,NMS1,5,5,219.0,380.0,81.0,90.0,1,1,0,1.0,0.004
nms,NMS,0542_0298295711_03_WRI-L2_F010.PNG,TP,0.9999997970731035,0.6184102918825263,0,matched_gt_highest_confidence,NMS1,7,7,130.0,376.0,91.0,90.0,2,2,0,1.0,0.008
nms,NMS,4605_0740967567_01_WRI-L2_F011.PNG,TP,0.9999992615558817,0.5712525255375708,0,matched_gt_highest_confidence,NMS1,15,15,289.0,525.0,85.0,90.0,3,3,0,1.0,0.012
nms,NMS,5874_0879009645_04_WRI-L2_M013.png,TP,0.9999987911706285,0.64160654257725,0,matched_gt_highest_confidence,NMS1,7,"7,8",236.0,513.0,91.0,90.0,4,4,0,1.0,0.016
nms,NMS,5333_1015227899_01_WRI-R2_F010.PNG,TP,0.9999979999075042,0.7308347426842444,0,matched_gt_highest_confidence,NMS1,1,"1,3",218.0,355.0,96.0,90.0,5,5,0,1.0,0.02
nms,NMS,1283_0402792035_01_WRI-L2_M009.png,TP,0.9999959428073301,0.7110372194965869,0,matched_gt_highest_confidence,NMS1,1,1,150.0,344.0,98.0,90.0,6,6,0,1.0,0.024
nms,NMS,5953_1118750249_01_WRI-L2_F013.png,TP,0.999995850884237,0.5896651322211616,0,matched_gt_highest_confidence,NMS1,1,1,199.0,446.0,143.0,100.0,7,7,0,1.0,0.028
nms,NMS,2363_0844094867_02_WRI-R2_F010.PNG,TP,0.99999011570197,0.6186022468162065,0,matched_gt_highest_confidence,NMS1,8,8,135.0,606.0,91.0,90.0,8,8,0,1.0,0.032
nms,NMS,1993_0548434682_03_WRI-R2_F009.PNG,TP,0.9999847485255072,0.5752163709990507,0,matched_gt_highest_confidence,NMS1,6,"6,3",160.0,442.0,66.0,90.0,9,9,0,1.0,0.036
nms,NMS,5303_0992053123_02_WRI-R2_F014.PNG,TP,0.9970801582175919,0.5673671376440831,0,matched_gt_highest_confidence,NMS1,3,3,224.0,442.0,136.0,96.0,10,10,0,1.0,0.04
nms,NMS,4857_1142512186_03_WRI-L2_M014.PNG,TP,0.9961379125592942,0.6308412901171923,0,matched_gt_highest_confidence,NMS1,7,7,193.0,476.0,75.0,90.0,11,11,0,1.0,0.044
nms,NMS,0028_0578333865_02_WRI-R1_M008.png,TP,0.9955300174452476,0.6480845982858866,0,matched_gt_highest_confidence,NMS1,1,"1,5",203.0,359.0,94.0,90.0,12,12,0,1.0,0.048
nms,NMS,2880_0995256867_02_WRI-R2_M010.png,TP,0.993902117611052,0.555973448056341,0,matched_gt_highest_confidence,NMS1,8,8,413.0,392.0,91.0,90.0,13,13,0,1.0,0.052
nms,NMS,0418_0986372204_04_WRI-L2_M008.png,TP,0.9938927669460996,0.5688596950704751,0,matched_gt_highest_confidence,NMS1,6,6,233.0,334.0,91.0,90.0,14,14,0,1.0,0.056
nms,NMS,2176_1073963460_04_WRI-L2_M009.png,TP,0.9927974159691221,0.5695891663861697,0,matched_gt_highest_confidence,NMS1,8,8,208.0,460.0,91.0,90.0,15,15,0,1.0,0.06
nms,NMS,0536_1045921212_01_WRI-L2_M007.PNG,TP,0.9927386164751659,0.6704137603009296,0,matched_gt_highest_confidence,NMS1,1,"1,10",220.0,528.0,82.0,90.0,16,16,0,1.0,0.064
nms,NMS,1160_0194008938_01_WRI-L2_M010.png,TP,0.9920985378369935,0.63352618516556,0,matched_gt_highest_confidence,NMS1,3,3,158.0,333.0,91.0,90.0,17,17,0,1.0,0.068
nms,NMS,5168_0338948778_01_WRI-R2_M007.PNG,TP,0.9916827781885291,0.5328254110940289,0,matched_gt_highest_confidence,NMS1,7,7,201.0,454.0,53.0,90.0,18,18,0,1.0,0.072
nms,NMS,5983_1184814878_01_WRI-L1_M011.png,TP,0.991249858893928,0.5626386551587863,0,matched_gt_highest_confidence,NMS1,1,1,216.0,480.0,172.0,120.0,19,19,0,1.0,0.076
nms,NMS,1632_0634171744_02_WRI-R2_M003.png,TP,0.990854104961967,0.8075772137550125,0,matched_gt_highest_confidence,NMS1,1,1,149.0,315.0,88.0,90.0,20,20,0,1.0,0.08
nms,NMS,6079_0512846944_01_WRI-R2_M011.png,TP,0.9905405511219822,0.6682811941844277,0,matched_gt_highest_confidence,NMS1,1,"1,11",166.0,495.0,117.0,90.0,21,21,0,1.0,0.084
nms,NMS,5613_0925004359_01_WRI-R2_F012.PNG,TP,0.9900685866167502,0.5801447714096902,0,matched_gt_highest_confidence,NMS1,1,"1,11",144.0,475.0,116.0,90.0,22,22,0,1.0,0.088
nms,NMS,1173_0822043658_01_WRI-R2_F009.PNG,TP,0.9896005384088438,0.5296154463275892,0,matched_gt_highest_confidence,NMS1,3,3,172.0,279.0,110.0,90.0,23,23,0,1.0,0.092
