technique,technique_label,threshold,TP,FP,FN,IGNORED,GT,detections,precision,recall,sensitivity,F1,F2,fp_per_image
nms,NMS,0.9999998951737755,0,0,250,0,250,0,1.0,0.0,0.0,0.0,0.0,0.0
nms,NMS,0.9999998941737755,1,0,249,0,250,1,1.0,0.004,0.004,0.00796812749003984,0.004995004995004996,0.0
nms,NMS,0.9999979106176803,5,0,245,0,250,5,1.0,0.02,0.02,0.0392156862745098,0.02487562189054727,0.0
nms,NMS,0.9997325971131339,9,0,241,0,250,9,1.0,0.036,0.036,0.06949806949806948,0.0445986124876115,0.0
nms,NMS,0.9939008999952484,13,0,237,0,250,13,1.0,0.052,0.052,0.0988593155893536,0.06416584402764068,0.0
nms,NMS,0.9922250302021927,16,0,234,0,250,16,1.0,0.064,0.064,0.12030075187969924,0.07874015748031496,0.0
nms,NMS,0.9907860548798334,20,0,230,0,250,20,1.0,0.08,0.08,0.14814814814814814,0.09803921568627451,0.0
nms,NMS,0.9894400310871506,23,1,227,0,250,24,0.9583333333333334,0.092,0.092,0.16788321167883213,0.1123046875,0.004149377593360996
nms,NMS,0.9883910690247305,27,1,223,0,250,28,0.9642857142857143,0.108,0.108,0.19424460431654678,0.13132295719844356,0.004149377593360996
nms,NMS,0.9866137746505284,30,1,220,0,250,31,0.967741935483871,0.12,0.12,0.21352313167259784,0.1454898157129001,0.004149377593360996
nms,NMS,0.9847028111753524,34,1,216,0,250,35,0.9714285714285714,0.136,0.136,0.23859649122807017,0.1642512077294686,0.004149377593360996
nms,NMS,0.9831529876928985,37,2,213,0,250,39,0.9487179487179487,0.148,0.148,0.2560553633217993,0.178055822906641,0.008298755186721992
nms,NMS,0.9817652968438633,41,2,209,0,250,43,0.9534883720930233,0.164,0.164,0.27986348122866894,0.1965484180249281,0.008298755186721992
nms,NMS,0.980946783942409,43,4,207,0,250,47,0.9148936170212766,0.172,0.172,0.2895622895622895,0.2053486150907354,0.016597510373443983
nms,NMS,0.9783514467933456,44,6,206,1,250,51,0.88,0.176,0.176,0.2933333333333333,0.2095238095238095,0.024896265560165973
nms,NMS,0.9765353129721641,46,8,204,1,250,55,0.8518518518518519,0.184,0.184,0.3026315789473684,0.21821631878557876,0.03319502074688797
nms,NMS,0.9747376288619113,48,10,202,1,250,59,0.8275862068965517,0.192,0.192,0.3116883116883117,0.22684310018903592,0.04149377593360996
nms,NMS,0.9704293348155898,51,11,199,1,250,63,0.8225806451612904,0.204,0.204,0.32692307692307687,0.24011299435028244,0.04564315352697095
nms,NMS,0.9682972455219554,54,12,196,1,250,67,0.8181818181818182,0.216,0.216,0.34177215189873417,0.25328330206378985,0.04979253112033195
nms,NMS,0.9666266367809753,57,13,193,1,250,71,0.8142857142857143,0.228,0.228,0.35625,0.26635514018691586,0.05394190871369295
nms,NMS,0.9651331355549434,60,14,190,1,250,75,0.8108108108108109,0.24,0.24,0.3703703703703704,0.2793296089385475,0.058091286307053944
nms,NMS,0.9629095902898336,64,14,186,1,250,79,0.8205128205128205,0.256,0.256,0.3902439024390244,0.29684601113172543,0.058091286307053944
nms,NMS,0.9595459398259107,66,15,184,1,250,82,0.8148148148148148,0.264,0.264,0.39879154078549855,0.30527289546716,0.06224066390041494
nms,NMS,0.9567893623330749,68,16,182,1,250,85,0.8095238095238095,0.272,0.272,0.407185628742515,0.3136531365313653,0.06639004149377593
nms,NMS,0.9532962659881051,72,16,178,1,250,89,0.8181818181818182,0.288,0.288,0.4260355029585799,0.3308823529411764,0.06639004149377593
nms,NMS,0.9496421719961755,76,17,174,1,250,94,0.8172043010752689,0.304,0.304,0.44314868804664725,0.34766697163769444,0.07053941908713693
nms,NMS,0.9433534323468452,79,18,171,1,250,98,0.8144329896907216,0.316,0.316,0.45533141210374645,0.3600729261622607,0.07468879668049792
nms,NMS,0.9399230278836559,81,19,169,1,250,101,0.81,0.324,0.324,0.4628571428571428,0.3681818181818182,0.07883817427385892
nms,NMS,0.9371430689537565,83,21,167,1,250,105,0.7980769230769231,0.332,0.332,0.46892655367231634,0.37590579710144933,0.08713692946058091
nms,NMS,0.9329648659370164,84,24,166,1,250,109,0.7777777777777778,0.336,0.336,0.46927374301675984,0.37906137184115524,0.0995850622406639
nms,NMS,0.9286529841400237,87,23,163,3,250,113,0.7909090909090909,0.348,0.348,0.4833333333333333,0.3918918918918919,0.0954356846473029
nms,NMS,0.9258988426189428,88,25,162,3,250,116,0.7787610619469026,0.352,0.352,0.4848484848484848,0.39532794249775377,0.1037344398340249
nms,NMS,0.9216134151293855,90,27,160,3,250,120,0.7692307692307693,0.36,0.36,0.4904632152588556,0.4028648164726947,0.11203319502074689
nms,NMS,0.9204641442942859,94,27,156,3,250,124,0.7768595041322314,0.376,0.376,0.5067385444743936,0.41926851025869766,0.11203319502074689
nms,NMS,0.9126092315472565,98,27,152,3,250,128,0.784,0.392,0.392,0.5226666666666667,0.43555555555555553,0.11203319502074689
nms,NMS,0.9061190793998745,100,29,150,3,250,132,0.7751937984496124,0.4,0.4,0.5277044854881268,0.4428697962798937,0.12033195020746888
nms,NMS,0.899144568909693,102,31,148,3,250,136,0.7669172932330827,0.408,0.408,0.5326370757180156,0.4501323918799646,0.12863070539419086
nms,NMS,0.8966325720885487,104,31,146,4,250,139,0.7703703703703704,0.416,0.416,0.5402597402597403,0.4581497797356828,0.12863070539419086
nms,NMS,0.8930031790699182,107,32,143,4,250,143,0.7697841726618705,0.428,0.428,0.5501285347043702,0.4697102721685689,0.13278008298755187
nms,NMS,0.8879958586084016,108,35,142,4,250,147,0.7552447552447552,0.432,0.432,0.549618320610687,0.47244094488188976,0.14522821576763487
nms,NMS,0.8811430680326077,111,36,139,4,250,151,0.7551020408163265,0.444,0.444,0.5591939546599497,0.4838709677419355,0.14937759336099585
nms,NMS,0.8737288081391686,111,40,139,4,250,155,0.7350993377483444,0.444,0.444,0.5536159600997507,0.48218940052128584,0.16597510373443983
nms,NMS,0.8660081760109669,113,41,137,5,250,159,0.7337662337662337,0.452,0.452,0.5594059405940593,0.4896013864818024,0.17012448132780084
nms,NMS,0.8579042635272474,115,42,135,6,250,163,0.732484076433121,0.46,0.46,0.5651105651105651,0.4969749351771824,0.17427385892116182
nms,NMS,0.853285477486579,116,43,134,8,250,167,0.7295597484276729,0.464,0.464,0.567237163814181,0.5004314063848145,0.17842323651452283
nms,NMS,0.8473727633795022,119,44,131,8,250,171,0.7300613496932515,0.476,0.476,0.5762711864406779,0.5116079105760962,0.1825726141078838
nms,NMS,0.8437104444033487,122,44,128,8,250,174,0.7349397590361446,0.488,0.488,0.5865384615384616,0.5231560891938251,0.1825726141078838
nms,NMS,0.8400256918203662,122,47,128,8,250,177,0.7218934911242604,0.488,0.488,0.5823389021479712,0.5218135158254918,0.1950207468879668
nms,NMS,0.839141215747981,125,47,125,10,250,182,0.7267441860465116,0.5,0.5,0.5924170616113744,0.5332764505119454,0.1950207468879668
nms,NMS,0.8351894186766543,126,49,124,11,250,186,0.72,0.504,0.504,0.5929411764705882,0.5361702127659574,0.2033195020746888
nms,NMS,0.8287570264541899,127,52,123,11,250,190,0.7094972067039106,0.508,0.508,0.592074592074592,0.5385920271416456,0.2157676348547718
nms,NMS,0.826921191649099,129,54,121,11,250,194,0.7049180327868853,0.516,0.516,0.5958429561200923,0.5452240067624683,0.22406639004149378
nms,NMS,0.8227713325325323,131,54,119,11,250,196,0.7081081081081081,0.524,0.524,0.6022988505747128,0.5527426160337553,0.22406639004149378
nms,NMS,0.8192760789858681,134,55,116,11,250,200,0.708994708994709,0.536,0.536,0.6104783599088839,0.5634987384356602,0.22821576763485477
nms,NMS,0.8155480365167042,136,57,114,11,250,204,0.7046632124352331,0.544,0.544,0.6139954853273139,0.5699916177703269,0.23651452282157676
nms,NMS,0.8091664856414992,138,58,112,11,250,207,0.7040816326530612,0.552,0.552,0.6188340807174888,0.5769230769230769,0.24066390041493776
nms,NMS,0.8056425611515687,141,59,109,11,250,211,0.705,0.564,0.564,0.6266666666666666,0.5874999999999999,0.24481327800829875
nms,NMS,0.7980304868600427,143,61,107,11,250,215,0.7009803921568627,0.572,0.572,0.6299559471365639,0.5938538205980065,0.25311203319502074
nms,NMS,0.7941408211113974,146,62,104,11,250,219,0.7019230769230769,0.584,0.584,0.6375545851528385,0.6043046357615893,0.2572614107883817
nms,NMS,0.7865646111807372,147,65,103,11,250,223,0.6933962264150944,0.588,0.588,0.6363636363636364,0.6064356435643564,0.2697095435684647
nms,NMS,0.7794617760964772,149,67,101,11,250,227,0.6898148148148148,0.596,0.596,0.6394849785407725,0.6126644736842105,0.27800829875518673
nms,NMS,0.7725819722338753,150,70,100,11,250,231,0.6818181818181818,0.6,0.6,0.6382978723404256,0.6147540983606556,0.29045643153526973
nms,NMS,0.761160882814579,153,70,97,12,250,235,0.6860986547085202,0.612,0.612,0.6469344608879491,0.6255110384300899,0.29045643153526973
nms,NMS,0.7555262286359958,153,74,97,12,250,239,0.6740088105726872,0.612,0.612,0.6415094339622641,0.6234718826405868,0.3070539419087137
nms,NMS,0.7452273755480318,155,76,95,12,250,243,0.670995670995671,0.62,0.62,0.6444906444906445,0.6295694557270511,0.3153526970954357
nms,NMS,0.733225071182923,155,80,95,12,250,247,0.6595744680851063,0.62,0.62,0.6391752577319586,0.6275303643724697,0.33195020746887965
nms,NMS,0.7231227750714945,157,81,93,12,250,250,0.6596638655462185,0.628,0.628,0.6434426229508197,0.6340872374798061,0.3360995850622407
nms,NMS,0.7141977190125951,157,84,93,12,250,253,0.6514522821576764,0.628,0.628,0.639511201629328,0.6325543916196615,0.34854771784232363
nms,NMS,0.7104976290944734,159,86,91,12,250,257,0.6489795918367347,0.636,0.636,0.6424242424242426,0.6385542168674699,0.35684647302904565
nms,NMS,0.7039743848487567,161,87,89,13,250,261,0.6491935483870968,0.644,0.644,0.6465863453815262,0.6450320512820512,0.36099585062240663
nms,NMS,0.69784558399383,161,91,89,13,250,265,0.6388888888888888,0.644,0.644,0.6414342629482072,0.6429712460063898,0.3775933609958506
nms,NMS,0.6895887398485777,162,95,88,13,250,270,0.6303501945525292,0.648,0.648,0.6390532544378698,0.6443914081145584,0.3941908713692946
nms,NMS,0.6820703373946015,164,96,86,14,250,274,0.6307692307692307,0.656,0.656,0.6431372549019607,0.6507936507936508,0.3983402489626556
nms,NMS,0.6800660800785825,165,99,85,14,250,278,0.625,0.66,0.66,0.6420233463035019,0.6526898734177214,0.4107883817427386
nms,NMS,0.6766689266948024,167,101,83,14,250,282,0.6231343283582089,0.668,0.668,0.6447876447876447,0.6585173501577287,0.4190871369294606
nms,NMS,0.6700471253805034,169,101,81,14,250,284,0.6259259259259259,0.676,0.676,0.6499999999999999,0.6653543307086613,0.4190871369294606
nms,NMS,0.6655820292946266,171,103,79,14,250,288,0.6240875912408759,0.684,0.684,0.6526717557251909,0.6711145996860284,0.42738589211618255
nms,NMS,0.663161188877147,173,105,77,14,250,292,0.6223021582733813,0.692,0.692,0.6553030303030303,0.6768388106416277,0.43568464730290457
nms,NMS,0.6596104122210085,173,108,77,15,250,296,0.6156583629893239,0.692,0.692,0.6516007532956685,0.6752537080405933,0.44813278008298757
nms,NMS,0.6529051445246438,174,111,76,15,250,300,0.6105263157894737,0.696,0.696,0.6504672897196262,0.6770428015564202,0.4605809128630705
nms,NMS,0.6473830882728304,175,114,75,15,250,304,0.6055363321799307,0.7,0.7,0.6493506493506493,0.6788207913110937,0.4730290456431535
nms,NMS,0.6460887093795132,176,116,74,15,250,307,0.6027397260273972,0.704,0.704,0.6494464944649446,0.6811145510835913,0.48132780082987553
nms,NMS,0.6428386986871178,178,118,72,15,250,311,0.6013513513513513,0.712,0.712,0.652014652014652,0.6867283950617284,0.4896265560165975
nms,NMS,0.6355946724238701,178,120,72,16,250,314,0.5973154362416108,0.712,0.712,0.6496350364963505,0.6856702619414483,0.4979253112033195
nms,NMS,0.6196119595596087,178,122,72,16,250,316,0.5933333333333334,0.712,0.712,0.6472727272727272,0.6846153846153845,0.5062240663900415
nms,NMS,0.6127282534714399,178,126,72,16,250,320,0.5855263157894737,0.712,0.712,0.6425992779783394,0.6825153374233128,0.5228215767634855
nms,NMS,0.6083408293767677,180,127,70,17,250,324,0.5863192182410424,0.72,0.72,0.6463195691202872,0.6885998469778118,0.5269709543568465
nms,NMS,0.6043541253565248,181,129,69,18,250,328,0.5838709677419355,0.724,0.724,0.6464285714285715,0.6908396946564886,0.5352697095435685
nms,NMS,0.5966733421062005,183,131,67,18,250,332,0.5828025477707006,0.732,0.732,0.648936170212766,0.6963470319634704,0.5435684647302904
nms,NMS,0.5948341304530789,184,133,66,18,250,335,0.580441640378549,0.736,0.736,0.6490299823633157,0.6985573272589217,0.5518672199170125
nms,NMS,0.5901998020089742,184,137,66,18,250,339,0.573208722741433,0.736,0.736,0.6444833625218914,0.6964420893262678,0.5684647302904564
nms,NMS,0.5869456005099934,184,141,66,18,250,343,0.5661538461538461,0.736,0.736,0.6399999999999999,0.6943396226415093,0.5850622406639004
nms,NMS,0.5844910432834836,187,141,63,19,250,347,0.5701219512195121,0.748,0.748,0.6470588235294118,0.704066265060241,0.5850622406639004
nms,NMS,0.5764259654994155,189,143,61,19,250,351,0.5692771084337349,0.756,0.756,0.6494845360824741,0.7094594594594594,0.5933609958506224
nms,NMS,0.5727604472213469,191,144,59,20,250,355,0.5701492537313433,0.764,0.764,0.652991452991453,0.7153558052434457,0.5975103734439834
nms,NMS,0.5679647266440911,192,147,58,20,250,359,0.5663716814159292,0.768,0.768,0.6519524617996605,0.7169529499626588,0.6099585062240664
nms,NMS,0.563197722432384,192,151,58,20,250,363,0.5597667638483965,0.768,0.768,0.6475548060708263,0.7148175725986597,0.6265560165975104
nms,NMS,0.5580067338299143,192,154,58,20,250,366,0.5549132947976878,0.768,0.768,0.6442953020134228,0.7132243684992571,0.6390041493775933
nms,NMS,0.5525415827619296,193,155,57,21,250,369,0.5545977011494253,0.772,0.772,0.6454849498327759,0.7158753709198814,0.6431535269709544
nms,NMS,0.5484926613946167,195,157,55,21,250,373,0.5539772727272727,0.78,0.78,0.6478405315614618,0.721153846153846,0.6514522821576764
nms,NMS,0.54386062242958,196,160,54,21,250,377,0.550561797752809,0.784,0.784,0.6468646864686469,0.7227138643067847,0.6639004149377593
nms,NMS,0.5370072895113279,196,164,54,21,250,381,0.5444444444444444,0.784,0.784,0.642622950819672,0.7205882352941176,0.6804979253112033
nms,NMS,0.52914531319521,198,165,52,22,250,385,0.5454545454545454,0.792,0.792,0.6460032626427407,0.7263389581804843,0.6846473029045643
nms,NMS,0.5234950316307818,199,167,51,22,250,388,0.5437158469945356,0.796,0.796,0.6461038961038962,0.7284040995607614,0.6929460580912863
nms,NMS,0.5148152324497791,200,170,50,22,250,392,0.5405405405405406,0.8,0.8,0.6451612903225806,0.7299270072992702,0.7053941908713693
nms,NMS,0.5101514960490121,201,173,49,22,250,396,0.5374331550802139,0.804,0.804,0.6442307692307693,0.7314410480349347,0.7178423236514523
nms,NMS,0.5065601318644338,201,177,49,22,250,400,0.5317460317460317,0.804,0.804,0.6401273885350318,0.7293178519593615,0.7344398340248963
nms,NMS,0.5,201,182,49,22,250,405,0.5248041775456919,0.804,0.804,0.6350710900473935,0.7266811279826465,0.7551867219917012
nms,NMS,0.4948934739338714,201,184,49,22,250,407,0.522077922077922,0.804,0.804,0.6330708661417321,0.7256317689530686,0.7634854771784232
nms,NMS,0.48884703971886234,202,187,48,22,250,411,0.519280205655527,0.808,0.808,0.6322378716744914,0.7271418286537077,0.7759336099585062
nms,NMS,0.48144519087969,203,190,47,22,250,415,0.5165394402035624,0.812,0.812,0.6314152410575429,0.728643216080402,0.7883817427385892
nms,NMS,0.4767195869990048,203,193,47,23,250,419,0.5126262626262627,0.812,0.812,0.628482972136223,0.7270773638968482,0.8008298755186722
nms,NMS,0.4705791410577989,206,194,44,23,250,423,0.515,0.824,0.824,0.6338461538461538,0.7357142857142857,0.8049792531120332
nms,NMS,0.4656814751912094,208,195,42,24,250,427,0.5161290322580645,0.832,0.832,0.6370597243491577,0.7412687099073414,0.8091286307053942
nms,NMS,0.4587399897750556,209,198,41,24,250,431,0.5135135135135135,0.836,0.836,0.6362252663622526,0.7427149964463399,0.8215767634854771
nms,NMS,0.4537546538387952,209,202,41,24,250,435,0.5085158150851582,0.836,0.836,0.6323751891074131,0.7406094968107726,0.8381742738589212
nms,NMS,0.45010836224964174,210,205,40,24,250,439,0.5060240963855421,0.84,0.84,0.631578947368421,0.7420494699646644,0.8506224066390041
nms,NMS,0.44575894294132445,210,209,40,24,250,443,0.5011933174224343,0.84,0.84,0.6278026905829597,0.7399577167019028,0.8672199170124482
nms,NMS,0.4433539684322153,210,213,40,24,250,447,0.49645390070921985,0.84,0.84,0.6240713224368499,0.7378777231201685,0.8838174273858921
nms,NMS,0.4426476495228448,211,215,39,25,250,451,0.4953051643192488,0.844,0.844,0.6242603550295858,0.7398316970546984,0.8921161825726142
nms,NMS,0.4394989126188441,212,218,38,25,250,455,0.4930232558139535,0.848,0.848,0.6235294117647059,0.7412587412587411,0.9045643153526971
nms,NMS,0.43707454522059985,213,220,37,25,250,458,0.49191685912240185,0.852,0.852,0.6237188872620791,0.7431960921144452,0.9128630705394191
nms,NMS,0.42942519763431286,215,222,35,25,250,462,0.4919908466819222,0.86,0.86,0.6259097525473072,0.7480862908837855,0.921161825726141
nms,NMS,0.4274378610994463,216,225,34,25,250,466,0.4897959183673469,0.864,0.864,0.6251808972503617,0.7494795281054824,0.9336099585062241
nms,NMS,0.4246575867656552,216,228,34,26,250,470,0.4864864864864865,0.864,0.864,0.6224783861671469,0.7479224376731302,0.946058091286307
nms,NMS,0.4208731061737741,216,232,34,26,250,474,0.48214285714285715,0.864,0.864,0.6189111747851004,0.7458563535911601,0.9626556016597511
nms,NMS,0.417777409545071,216,236,34,26,250,478,0.4778761061946903,0.864,0.864,0.6153846153846154,0.743801652892562,0.979253112033195
nms,NMS,0.4114701054910424,216,240,34,26,250,482,0.47368421052631576,0.864,0.864,0.6118980169971671,0.7417582417582417,0.995850622406639
